,CarMaxdesiredSpeed,TruckMaxdesiredSpeed,CarMaxAcceleration,TruckMaxAccerlation,CarNormalDeceleration,TruckNormalDeceleration,CarSensitivityFactor,TruckSensistivityFactor,CarReactionTime,TruckReactionTime,CarVehicleDemand,TruckVehicleDemand,CarGap,TruckGap,Loss
0,130.0110042,88.06076007,3.180433804,1.132456419,4.101958492,3.602604284,0.734990639,0.77845784,0.980277969,1.151471758,550.0049341,89.00922665,2.725044447,2.653995708,16.87788935
1,130.0148051,88.09274955,3.417500524,1.318232758,4.377575161,3.817654421,1.369073774,1.159980397,1.861888319,1.361111987,550.0113457,89.01978061,2.823440373,2.787612348,13.29426117
2,130.0165583,88.09415383,3.449072401,1.384393179,4.422090681,3.84969378,1.474841744,1.227755689,1.901128907,3.047818526,550.0141322,89.02062611,2.858234307,2.83139173,15.54395149
3,129.9860599,88.07426349,1.535065555,0.84881983,3.754897887,3.292033734,-17.57745946,-1.51709635,1.861425777,-0.605968067,549.9770936,88.98597376,0.019544729,13.29379878,20.30324424
4,129.8612216,88.06129578,1.687222191,0.345540474,3.235872404,2.868282228,-2.283765453,-1.518442329,0.615313668,-0.239111881,549.9224904,88.97481013,-1.230470202,4.326353119,22.85351198
5,129.8181672,88.04721821,1.993621145,-0.122135982,-15.33512873,1.708335141,-32.92132371,-0.999773427,-0.015476832,-0.461520764,549.9182772,88.96657755,-0.982337495,4.22827204,20.96515864
6,130.0193273,88.16253184,3.4,1.528818409,4.5,4.8,1,1,1.5,2.03635155,550,89.02593119,2.927887002,5,19.43878261
7,130.0158102,88.09348688,3.4,1.505703745,4.400259522,3.852854514,0.66587987,0.559525111,1.5,1.384042275,550,89.00191999,2.835534749,5,17.37589521
8,130.0159207,88.09375655,3.4,1.516935313,4.408405291,3.865368756,0.678844424,0.601927952,1.5,1.415777512,550,89.0025933,2.839129414,5,20.29081736
9,130.015966,88.09393385,3.4,1.518503069,4.41174939,3.866697346,0.682235965,0.604542915,1.5,1.417090418,550,89.0026218,2.842979819,5,23.62603737
